fecha;pagina;id_aviso;fecha_primera_vista;dias_desde_primera_vista;nueva_publicacion;publicado_zonaprop_raw;fecha_publicacion_zonaprop;antiguedad_zonaprop_dias;barrio;direccion;precio_raw;moneda;expensas;m2;ambientes;dormitorios;banos;precio_m2;mascotas;balcon;cochera;terraza;pileta;parrilla;luminoso;url;imagen;texto
2026-07-01;4;59504932;2026-07-01;0;True;;;;Flores;Av Nazca al 400 Flores, Capital Federal Excelente;$ 900.000;ARS;296000.0;123;4;3;3;7317;False;True;False;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-flores-59504932.html?n_src=Listado&n_pg=4&n_pos=2&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;$ 900.000 $ 296.000 Expensas 123 m² tot. 4 amb. 3 dorm. 3 baños Av Nazca al 400 Flores, Capital Federal Excelente departamento de 120 m² en alquiler, ubicado en la mejor zona comercial de Flores, sobre la esquina de Nazca y Avellaneda. La propiedad cuenta con cuatro ambientes, tres baños y dos balcones, uno con frente a Nazca y otro sobre Avellaneda, lo que le brinda una excelente luminosidad y ventilación. El departamento se encuentra en buen estado general. Requiere algunos trabajos de pintura, pero no presenta problemas de humedad. Sus amplios ambientes y su ubicación privilegiada lo convierten en una excelente opción para vivienda. Contrato a 24 meses con actualización trimestral por ipc. Se acepta seguro de caución. Venga a visitarlo. cucicba 142Diro PropiedadesAgente Raúl Maleh WhatsApp Contactar
2026-07-01;4;59018080;2026-06-23;8;False;;;;Villa Devoto;Allende 3600 Villa Devoto, Capital Federal Semipiso 4 ambientes al frente con balcon. Cochera fija cubierta (auto chico) en planta baja con portón individual. Todos los ambientes principales dan a la calle super luminoso, incluso la cocina es luminosa y cómoda ya que entra una mesa y sillas. Lavadero separado cubierto. Excelente ubicación, 1 cuadra Av Beiro, 4 cuadras Colegio Devoto School y del Devoto Shopping. Mat cucicba N° 20. Mat cmcpsm N° 2332. Socio cia N° 601. Art. 4 ley 5859 caba, Para los casos de;$ 1.500.000;ARS;300000.0;80;4;3;2;18750;False;True;True;False;False;False;True;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-4-ambientes-con-cochera-59018080.html?n_src=Listado&n_pills=Lavadero&n_pg=4&n_pos=5&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;$ 1.500.000 $ 300.000 Expensas 80 m² tot. 4 amb. 3 dorm. 2 baños 1 coch. Allende 3600 Villa Devoto, Capital Federal Semipiso 4 ambientes al frente con balcon. Cochera fija cubierta (auto chico) en planta baja con portón individual. Todos los ambientes principales dan a la calle super luminoso, incluso la cocina es luminosa y cómoda ya que entra una mesa y sillas. Lavadero separado cubierto. Excelente ubicación, 1 cuadra Av Beiro, 4 cuadras Colegio Devoto School y del Devoto Shopping. Mat cucicba N° 20. Mat cmcpsm N° 2332. Socio cia N° 601. Art. 4 ley 5859 caba, Para los casos de alquiler de vivienda, el monto máximo de honorarios que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes. Ley 5115, inmueble apto/no apto para personas con movilidad reducida. Las medidas y superficies son aproximadas y a solo efecto orientativo, las reales surgirán del respectivo título, plano mh registrado o Reglamento de Copropiedad y/o estado parcelario de cada inmueble proporcionados por el propietario. Fotos de caracter no contractual. Todos los valores y expensas pueden ser modificados sin previo aviso. WhatsApp Contactar
2026-07-01;4;58556427;2026-06-23;8;False;;;;Flores;Av. Varela 1400. Entre Avelino Díaz y Balbastro Flores, Capital Federal Alquiler de;$ 800.000;ARS;110000.0;78;4;3;2;10256;False;True;False;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-4-ambientes.-av-varela-al-1400-58556427.html?n_src=Listado&n_pills=Lavadero&n_pg=4&n_pos=10&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;"$ 800.000 $ 110.000 Expensas 78 m² tot. 4 amb. 3 dorm. 2 baños Av. Varela 1400. Entre Avelino Díaz y Balbastro Flores, Capital Federal Alquiler de Departamento 4 Ambientes en Flores, Capital Federal. torre sobre Av. Varela al 1400; es un completo de 3 Torres con cerco perimetral. La unidad se encuentra en último piso al contra frente. El edificio cuenta con 2 ascensores y cuatro departamentos por piso. Se ingresa por el hall de entrada desde el cual se accede a la cocina con ventana al contra frente, cuenta con mesada de granito, bajo mesada y un mueble auxiliar; desde el hall también se accede al living comedor por el cual se puede salir al balcón principal que da al contra frente; desde el living comedor, por un hall de distribución se va a los dormitorios, el primero, con placard, también tiene salida al balcón principal, continuando por el hall se llega al segundo dormitorio con placard y ventana al contra frente; al baño principal con bañera; al toillette y al tercer dormitorio que cuenta con un pequeño balcón de uso exclusivo. - El estado general es bueno, aunque requiere una puesta en valor. La unidad no cuenta con gas natural. - El departamento tiene todos los servicios Eléctricos. - El barrio cuenta con una variedad de negocios, supermercados a unas 2 o 3 cuadras, la estación Varela del subte ""E"", varias líneas de colectivo que pasan por Av. Eva Perón y por Av. Varela. A metros del Hospital Parmenio Piñero, la zona cuenta además con colegios tanto privados como públicos, centros deportivos y religiosos. Contrato 24 meses, actualización trimestral por icl. Las medidas exactas surgen del título de propiedad. Las fotos son ilustrativas, de carácter no contractual. La parte vendedora cumplirá con los requisitos de la resolución general 2371 ante afip (C. O. T. I.) a la brevedad. El precio del inmueble puede ser modificado. Toda información es a efecto orientativo. Walter Navarro cucicba 448xintel(apf-apf-278) WhatsApp Contactar"
2026-07-01;4;45866075;2026-06-23;8;False;;;;Caballito;"Senillosa 12 Caballito, Capital Federal Ubicacion. Senillosa N°12 - Piso 10° - a 10 metros de Av. Rivadavia; a 100 metros de subte estación Río de Janeiro, y de Av. La Plata, a 200 metros del parque Rivadavia. Y cochera a 200m. estado del inmueble. Se entrega recién pintado con los pisos de roble conservados en su plastificado. Caracteristicas y orientacion. Todo luz y sol! Con balcon corrido al frente. Orientacion so y ne en su contrafrente. Edificio señorial con seguridad las 24 hs y grupo electrógeno. Comodidades: Pallier de ingreso semi-privado y entrada de servicio. Amplio Living comedor de 7, 15 x 3, 00 metros, con salida al balcón 4, 60 por 1, 20 metros. - Toilette con ducha. Cocina comedor de 4, 45 x 2, 20 metros, conectado a amplio lavadero de 1, 90 x 1, 30 metros con conexión y ténder de techo. A este lavadero se ingresa por la puerta de servicio, por donde se puede acceder a las escaleras y ascensor de servicio. - Dormitorio principal de 4, 00 x 2, 90 metros más amplio placard de pared, todos, muy bien provistos internamente con cajoneras y estantes. Segundo dormitorio de 3, 55 x 2, 90 metros más amplio placard. - Tercer dormitorio de 3, 60 x 2, 00 metros con placard incluido. - Baño principal a nuevo- Segundo baño y cocina ""Vintage"" Servio de agua caliente individual - calefacción por expensas- no se aceptan mascotas. Expensas: . - incluye losa radiante- abl. Aysa: Condiciones:";$ 1.500.000;ARS;390000.0;90;4;3;1;16667;False;True;True;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-caballito-4-amb-piso-10-bcon-corrido-fte-coch-45866075.html?n_src=Listado&n_pills=Lavadero&n_pg=4&n_pos=11&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;"$ 1.500.000 $ 390.000 Expensas 90 m² tot. 4 amb. 3 dorm. 1 baño 1 coch. Senillosa 12 Caballito, Capital Federal Ubicacion. Senillosa N°12 - Piso 10° - a 10 metros de Av. Rivadavia; a 100 metros de subte estación Río de Janeiro, y de Av. La Plata, a 200 metros del parque Rivadavia. Y cochera a 200m. estado del inmueble. Se entrega recién pintado con los pisos de roble conservados en su plastificado. Caracteristicas y orientacion. Todo luz y sol! Con balcon corrido al frente. Orientacion so y ne en su contrafrente. Edificio señorial con seguridad las 24 hs y grupo electrógeno. Comodidades: Pallier de ingreso semi-privado y entrada de servicio. Amplio Living comedor de 7, 15 x 3, 00 metros, con salida al balcón 4, 60 por 1, 20 metros. - Toilette con ducha. Cocina comedor de 4, 45 x 2, 20 metros, conectado a amplio lavadero de 1, 90 x 1, 30 metros con conexión y ténder de techo. A este lavadero se ingresa por la puerta de servicio, por donde se puede acceder a las escaleras y ascensor de servicio. - Dormitorio principal de 4, 00 x 2, 90 metros más amplio placard de pared, todos, muy bien provistos internamente con cajoneras y estantes. Segundo dormitorio de 3, 55 x 2, 90 metros más amplio placard. - Tercer dormitorio de 3, 60 x 2, 00 metros con placard incluido. - Baño principal a nuevo- Segundo baño y cocina ""Vintage"" Servio de agua caliente individual - calefacción por expensas- no se aceptan mascotas. Expensas: . - incluye losa radiante- abl. Aysa: Condiciones: Alquiler inicial $. - con ajuste cuatrimestral por icl. Depósito: Ingresos demostrables. Garante de Capital - Prov si es fliar + Gastos de informes y certificación del garante. ó Seguro de Finaer-Premiun WhatsApp Contactar"
2026-07-01;4;59455932;2026-06-26;5;True;;;;Caballito;Avenida Rivadavia 4900 Caballito, Capital Federal Corredor Responsable: Graciela Teramo cpi 3749 / cmcpsi 6789- Contacto: Graciela Teramo..;USD 1000;USD;590000.0;128;4;3;1;11719;False;True;False;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-dpto.-4-ambientes-c-dep.-pque.-rivadavia-59455932.html?n_src=Listado&n_pills=Lavadero&n_pg=4&n_pos=12&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;$ 1.500.000 $ 590.000 Expensas 128 m² tot. 4 amb. 3 dorm. 1 baño Avenida Rivadavia 4900 Caballito, Capital Federal Corredor Responsable: Graciela Teramo cpi 3749 / cmcpsi 6789- Contacto: Graciela Teramo.. Departamento de 128 m2 de 4 ambientes con dependencia de servicio, frente a Parque Rivadavia. La propiedad cuenta con amplio living-comedor, tres dormitorios, cocina comedor, dependencia de servicio, lavadero, baño completo y toilette. Balcón al frente con hermosa vista. a Parque Rivadavia. Privilegiada ubicación,, a media cuadra de Avda. Acoyte., al lado de la Galería París., a pasos del Subte A, líneas de colectivos. Condiciones. Contrato por 24 meses. mensuales $ 1. 500. 000. Un mes adelantado. U$S 1000 de depósito en garantía. Seguro de caución. Actualización trimestral por ipc. rau S. R. L. No ejerce el corretaje inmobiliario. El presente sitio web es una plataforma en donde cada oficina inmobiliaria independiente que contrata los servicios re/max puede publicar las propiedades a su cargo. Cada oficina es de propiedad y gestión independiente, por lo que rau S. R. L. No interviene en los datos de la publicación, en la operación inmobiliaria, ni en la confección y/o firma del boleto de compraventa y/o escritura y/o contrato de alquiler. En cumplimiento de las leyes vigentes que regulan el corretaje inmobiliario, Ley Nacional 25. 028, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes/gestores no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario colegiado a cargo de la publicación, cuyos datos se exhiben en la presente. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes. El inmueble no es accesible para personas con discapacidades físicas. WhatsApp Contactar
2026-07-01;4;59253738;2026-06-26;5;True;;;;Villa del Parque;Campana 3500 Villa del Parque, Capital Federal Espectacular oportunidad en Villa del parque. pH 4 ambientes con fondo. Planta baja: amplio, Living, habitación, ideal, escritorio, cocina, comedor, baño, principal, galería, ideal, quincho, Lavadero, habitación de Servicio. Planta alta: tres habitaciones principal con placa Iris, balcón, baño con ducha. Apto vivienda o Profesional. Requisitos fundamental contar con garantía Propietaria o bien fianza de caución. Valor de;$ 1.500.000;ARS;;300;4;4;2;5000;False;True;False;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-disponible-en-alquiler-sin-expensas-4amb-con-patio-59253738.html?n_src=Listado&n_pills=Terraza&n_pg=4&n_pos=13&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;$ 1.500.000 300 m² tot. 4 amb. 4 dorm. 2 baños Campana 3500 Villa del Parque, Capital Federal Espectacular oportunidad en Villa del parque. pH 4 ambientes con fondo. Planta baja: amplio, Living, habitación, ideal, escritorio, cocina, comedor, baño, principal, galería, ideal, quincho, Lavadero, habitación de Servicio. Planta alta: tres habitaciones principal con placa Iris, balcón, baño con ducha. Apto vivienda o Profesional. Requisitos fundamental contar con garantía Propietaria o bien fianza de caución. Valor de alquiler $1. 500. 000. Ajuste cuatrimestral por ipc. Se alquila, tal cual está, La pintura General del actúa a la casa queda a cargo de quien alquila. Para más 5 contáctanos Al WhatsApp Ver datos o al de Linea Ver datos WhatsApp Contactar
2026-07-01;4;59292831;2026-06-23;8;False;;;;Villa Santa Rita;San Nicolas 1900 Villa Santa Rita, Capital Federal Excelente piso unico 4 ambientes con balcon corrido, terraza Y quincho cubierto - muy luminoso. ph primer piso por escalera con entrada independiente- sin expensas. comodidades. 1 piso: living comedor 6. 50 x 3. 70 balcon corrido. cocina comedor diario 3. 00 X 2. 60. 1º dormitorio 3. 50 x 3. 00 C/ placard. 2º dormitorio 3. 00 x 2. 80 C/ placard. 3º dormitorio 2. 60 X 2. 40 C/placard. baño inst. Completo compartimentado. terraza total con quincho lavadero Y baño de servicio. detalles: agua caliente X termotanque. cocina equipada con muebles bajo mesada. alacena colgante mesada de granito revest. Ceramicos. baño completo revest. Con revest. Ceramicos. living comedor pisos escalla de marmol. dormitorios con pisos de parquet plastificado. Estufas tiro balanc. Aire acondicionado frio / calor en living comedor Y dormitorios. resto ceramicos cortinas de enrollar tipo barrio. orientacion este excelente estado. sin expensas. impecable estado.;USD 1.;USD;;112;4;3;2;13;False;True;False;True;False;False;True;https://www.zonaprop.com.ar/propiedades/clasificado/alclphin-piso-unico-4-ambientes-con-terraza-y-quincho-59292831.html?n_src=Listado&n_pills=Terraza&n_pg=4&n_pos=14&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;$ 1.600.000 112 m² tot. 4 amb. 3 dorm. 2 baños San Nicolas 1900 Villa Santa Rita, Capital Federal Excelente piso unico 4 ambientes con balcon corrido, terraza Y quincho cubierto - muy luminoso. ph primer piso por escalera con entrada independiente- sin expensas. comodidades. 1 piso: living comedor 6. 50 x 3. 70 balcon corrido. cocina comedor diario 3. 00 X 2. 60. 1º dormitorio 3. 50 x 3. 00 C/ placard. 2º dormitorio 3. 00 x 2. 80 C/ placard. 3º dormitorio 2. 60 X 2. 40 C/placard. baño inst. Completo compartimentado. terraza total con quincho lavadero Y baño de servicio. detalles: agua caliente X termotanque. cocina equipada con muebles bajo mesada. alacena colgante mesada de granito revest. Ceramicos. baño completo revest. Con revest. Ceramicos. living comedor pisos escalla de marmol. dormitorios con pisos de parquet plastificado. Estufas tiro balanc. Aire acondicionado frio / calor en living comedor Y dormitorios. resto ceramicos cortinas de enrollar tipo barrio. orientacion este excelente estado. sin expensas. impecable estado. alquiler mensual: $ 1. 600. 000. deposito: usd 1. 500. requisitos: garantia A satisfaccion del propietario Y comprobantes de ingresos justificados gastos de gas -luz aysa A cargo del locatario. Las medidas, superficies y detalles consignadas en el presente folleto son aproximados y al solo efecto orientativo. Las medidas originales surgirán del título de propiedad respectivo. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios sera el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes. WhatsApp Contactar
2026-07-01;4;59199338;2026-06-23;8;False;;;;Flores;Pumacahua y Rivadavia Flores, Capital Federal;$ 1.200.000;ARS;460000.0;105;4;3;1;11429;True;True;True;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-cuatro-ambientes-con-dependencia-y-balcon-a-la-calle-59199338.html?n_src=Listado&n_pills=Lavadero&n_pg=4&n_pos=15&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;"$ 1.200.000 $ 460.000 Expensas 105 m² tot. 4 amb. 3 dorm. 1 baño 1 coch. Pumacahua y Rivadavia Flores, Capital Federal Departamento de 4 ambientes con dependencia, con salida a balcón a la calle. Acceso a living por palier privado. El mismo cuenta con formato en L y sus pisos de parquet. Salida a balcon corrido hacia la calle con orientación oeste. Por el segundo ingreso accedemos a la cocina, con espacio para comedor. Equipada con artefactos a gas. Sistema de agua caliente por calefón. Lavadero independiente que comunica hacia una dependencia con baño de servicio. Asimismo el departamento cuenta con dos cómodas habitaciones con placard empotrado hacia el frente y una tercer habitación hacia el pulmón también con su respectivo placard. En pasillo de distribución un toilette y baño completo con bañera. Sistema de calefacción centralizado por losa radiante. Cochera fija cubierta en planta baja. Ubicado sobre la calle Pumacahua entre Av. Rivadavia y Ramon Falcon. A 1 cuadra del subte &quot;A&quot; estación Carabobo y múltiples líneas de colectivo. No se admiten mascotas. Requisitos garantía de capital o seguro de caución y justificación de ingresos.. WhatsApp Contactar"
2026-07-01;4;59486022;2026-06-28;3;True;;;;Villa General Mitre;Bolivia 1800 Villa General Mitre, Capital Federal Ubicado estratégicamente en Villa General Mitre, límite con Villa del Parque y Villa Santa Rita, muy próximo a Caballito, Flores y La Paternal, Liniers, Villa Luro.;$ 1.050.000;ARS;;120;4;2;1;8750;False;True;False;True;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-de-70-m-sup2--con-2-dorm.-en-alquiler-en-59486022.html?n_src=Listado&n_pills=Lavadero&n_pg=4&n_pos=16&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;$ 1.050.000 120 m² tot. 4 amb. 2 dorm. 1 baño Bolivia 1800 Villa General Mitre, Capital Federal Ubicado estratégicamente en Villa General Mitre, límite con Villa del Parque y Villa Santa Rita, muy próximo a Caballito, Flores y La Paternal, Liniers, Villa Luro. Departamento disponible en alquiler ubicado en el barrio de Villa General Mitre. La propiedad cuenta con 120 m² de superficie total y 70 m² de superficie construida. El diseño interior de 3 ambientes presenta un living comedor integrado, cocina equipada, hall de entrada, comedor, lavadero independiente y 2 dormitorios con buena distribución, además de 1 baño completo. En cuanto a los espacios exteriores, la unidad dispone de balcón al frente, terraza de uso exclusivo, baulera y un quincho para reuniones. El departamento está equipado con aire acondicionado y calefacción en sus ambientes. El edificio es de planta única con 1 departamento por piso, garantizando privacidad. La zona cuenta con acceso a diversas líneas de colectivos, comercios de cercanía, colegios y centros de salud. Requisitos# requisitos para la locación. * Contrato de locación por **24 (veinticuatro) meses**. * Canon locativo mensual: **$1. 050. 000. -** * Actualización del alquiler **cada cuatro (4) meses**, conforme a la variación del **Índice de Precios al Consumidor (ipc - indec) **. * Destino exclusivo para **vivienda familiar permanente**. * **Garantía propietaria de la Ciudad Autónoma de Buenos Aires (caba) **, libre de gravámenes e inhibiciones (condición excluyente). * **Ingresos comprobables** del locatario y/o grupo familiar acordes al valor del alquiler. * Presentación de **dni, constancia de cuil/cuit y documentación laboral o impositiva** que acredite solvencia económica. * Pago del **primer mes de alquiler** y **depósito de garantía**, conforme a lo establecido en el contrato. * **No se aceptan mascotas. ** * La aprobación de la locación quedará sujeta a la **evaluación integral de la documentación presentada**, antecedentes personales, laborales y patrimoniales del locatario y del garante. * Se priorizarán postulantes que presenten la documentación completa y acrediten estabilidad económica y cumplimiento de los requisitos solicitados. **Las condiciones precedentemente indicadas son orientativas y podrán ser ampliadas o adecuadas por la parte locadora al momento de la evaluación de cada solicitud de alquiler. ** WhatsApp Contactar
2026-07-01;4;59520305;2026-07-01;0;True;;;;Villa Devoto;Curuzu Cuatia 2418 Villa Devoto, Capital Federal Se Alquila;$ 980.000;ARS;;60;4;3;1;16333;False;True;False;False;False;False;True;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-departamento-4-ambientes-villa-devoto-59520305.html?n_src=Listado&n_pills=Lavadero&n_pg=4&n_pos=17&n_search_id=8b19e1d1-1af6-405f-a5d9-db7f99e04338;;$ 980.000 60 m² tot. 4 amb. 3 dorm. 1 baño Curuzu Cuatia 2418 Villa Devoto, Capital Federal Se Alquila departamento de cuatro ambientes, tres dormitorios (todos con placard), amplia cocina, living comedor, balcón, baño y lavadero. El mismo es muy cómodo y luminoso. Piso alto. En Villa Devoto muy bien ubicado y a dos cuadras de Gral Paz. Requisitos: Mes de Alquiler. Mes de Deposito. Garantia: Seguro de Caución. Daniela Eliana Dosil Matrícula C. U. C. I. C. B. A 7327 l C. M. C. P. S. I. 6550. Todas las propiedades que figuran en esta publicación se encuentran a cargo del profesional matriculado Daniela Eliana Dosil, Matrícula C. U. C. I. C. B. A 7327 l C. M. C. P. S. I. 6550 por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él. En cumplimiento de la Ley 10. 973 de la Provincia de Buenos Aires, Ley Nacional 25. 028, Ley Nacional 20. 266, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores o agentes no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del martillero y corredor colegiado, cuyos datos se exhiben en el nombre de la inmobiliaria. Ley 5115: excepto que en la descripción de la propiedad se indique lo contrario, el edificio puede no contar con rampa para personas con movilidad reducida, y no ser Accesible para personas con discapacidades físicas. Venta sujeta a la obtención del coti por parte del propietario. Las medidas son aproximadas, las reales surgen del título o plano de mensura. Las reservas se toman exclusivamente en la inmobiliaria con el matriculado C. U. C. I. C. B. A 7327 l C. M. C. P. S. I. 6550 Contactar
